fid,type,if_si,name,geometry
542,parking,false,,POINT(348165.36455956585 6642794.723078293)
14,parking,false,parking lot,POINT(346431.23267732095 6642776.50679359)
542,parking,false,,POINT(348184.62534500984 6642789.541744022)
542,parking,false,,POINT(348187.8776789754 6642810.03840332)
542,parking,false,,POINT(348165.6576825716 6642812.802215583)
541,parking,false,,POINT(347916.66089007107 6643556.382418412)
541,parking,false,,POINT(347937.07880505215 6643564.594381064)
541,parking,false,,POINT(347933.26548178657 6643577.462195105)
541,parking,false,,POINT(347911.6957889286 6643564.823035718)
533,parking,false,,POINT(347845.0185521851 6642138.788016855)
533,parking,false,,POINT(347856.69497553277 6642160.893697975)
533,parking,false,,POINT(347876.80930837255 6642155.731446321)
533,parking,false,,POINT(347893.682918262 6642142.458881909)
533,parking,false,,POINT(347882.00370447274 6642120.354674951)
533,parking,false,,POINT(347863.5124566864 6642120.273854721)
533,parking,false,,POINT(347841.3927887495 6642131.923759887)
532,parking,false,,POINT(347775.86217550724 6642238.858751022)
532,parking,false,,POINT(347795.65344453946 6642233.437096147)
532,parking,false,,POINT(347787.905534345 6642212.4219004465)
532,parking,false,,POINT(347776.35867548664 6642190.248266317)
532,parking,false,,POINT(347764.81181662827 6642168.074632187)
532,parking,false,,POINT(347744.66638222965 6642174.6716355905)
532,parking,false,,POINT(347741.524842888 6642192.587059398)
532,parking,false,,POINT(347752.7843535327 6642214.907978287)
532,parking,false,,POINT(347764.0438641774 6642237.228897176)
531,parking,false,,POINT(347789.0732162876 6642128.124661855)
531,parking,false,,POINT(347811.2542382089 6642116.592000995)
531,parking,false,,POINT(347816.3046611394 6642131.0414153505)
531,parking,false,,POINT(347794.1207915788 6642142.568597631)
531,parking,false,,POINT(347778.37195077946 6642133.688610456)
503,parking,false,,POINT(347874.0142334016 6642647.357880129)
503,parking,false,,POINT(347890.90522053547 6642659.408205128)
503,parking,false,,POINT(347910.66040804423 6642644.087220614)
503,parking,false,,POINT(347930.12807221955 6642631.145388223)
503,parking,false,,POINT(347927.81329631415 6642648.902461671)
503,parking,false,,POINT(347908.627762284 6642664.9310387755)
503,parking,false,,POINT(347889.44222825393 6642680.95961588)
503,parking,false,,POINT(347873.7494832129 6642668.684581383)
503,parking,false,,POINT(347864.7742189953 6642645.351244026)
499,parking,false,,POINT(347390.6528815227 6642936.008196419)
499,parking,false,,POINT(347411.9419355556 6642936.697151975)
499,parking,false,,POINT(347387.3412449269 6642940.764211032)
498,parking,false,,POINT(347725.62613394216 6641566.668280152)
